entry_id,title,need_supported,guidance,limitations,source_type
KB-001,Catheter tube access opening,catheter access,"Use a discreet reinforced opening positioned from confirmed tube routing and wearer posture; protect tubing from sharp edges and compression.","Exact placement requires customer confirmation; this is garment guidance and not clinical advice.",Synthetic expert guidance
KB-002,Seated trouser pattern,seated comfort,"Use a higher back rise; reduced front rise; and shaped seat to improve coverage and reduce fabric pooling in a seated posture.","Confirm seated measurements and transfer method.",Synthetic expert guidance
KB-003,Side-seam opening,limited mobility,"Use an extended side-seam opening to widen dressing access while preserving the garment silhouette when closed.","Opening length and closure placement must avoid pressure points.",Synthetic expert guidance
KB-004,Low-force magnetic closure,reduced hand strength,"Use enclosed magnetic closures where low grip force is required and preserve a conventional buttoned appearance if desired.","Do not recommend where magnets may conflict with a medical device; escalate for professional advice if uncertain.",Synthetic expert guidance
KB-005,Large zipper pull,limited dexterity,"Add a large loop or tab to a zipper slider to support gross-motor grip.","Confirm loop size and snag risk with the customer.",Synthetic expert guidance
KB-006,Hook-and-loop closure,one-handed dressing,"Use a broad hook-and-loop closure for simple alignment and one-handed operation.","Avoid exposed abrasive edges and confirm sensory tolerance.",Synthetic expert guidance
KB-007,Flat seams,sensory sensitivity,"Use flatlocked or externally finished seams to reduce raised seam contact with skin.","Customer sensitivity varies; confirm acceptable seam placement.",Synthetic expert guidance
KB-008,Printed care label,sensory sensitivity,"Print care and size information directly on the garment or place a removable label away from sensitive areas.","Confirm print durability and ink suitability.",Synthetic expert guidance
KB-009,Soft waistband,seated dressing,"Use a wide soft waistband with controlled stretch to reduce concentrated pressure and ease seated dressing.","Confirm stretch recovery and required support.",Synthetic expert guidance
KB-010,Wide neck opening,restricted upper-body movement,"Use a widened or fully opening neckline to reduce required shoulder movement during dressing.","Confirm coverage and preferred closure.",Synthetic expert guidance
KB-011,Open-back top,assisted dressing,"Use an overlapping open-back construction for dressing in a seated or supported position.","Requires customer approval of coverage and caregiver access.",Synthetic expert guidance
KB-012,Reinforced access panel,repeated garment access,"Reinforce frequently opened access areas with soft facing and durable stitching.","Avoid stiff reinforcement against pressure-sensitive skin.",Synthetic expert guidance
KB-013,One-handed asymmetric opening,one-handed dressing,"Place an extended asymmetric opening within the wearer's reachable range to support one-handed dressing.","Confirm dominant hand; reach range; and preferred closure.",Synthetic expert guidance
KB-014,Pressure-aware placement,pressure management,"Keep bulky seams; closures; and hardware away from sustained seated contact zones.","Garment design does not replace clinical pressure-care advice.",Synthetic expert guidance
